-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2022 
Location: Latitude  17.4922   Longitude -88.3146 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4.19 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M       MERRA-2 Temperature at 2 Meters (C) 
RH2M      MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,24.31,24.81,25.85,26.75,27.51,27.33,27.89,27.59,27.65,26.58,26.19,24.4,26.41
T2M,2001,23.78,25.43,25.76,26.91,27.36,27.77,27.99,28.23,27.77,27.23,25.53,25.66,26.62
T2M,2002,24.99,25.33,25.83,27.04,28.18,28.46,28.09,28.28,28.37,27.71,26.07,25.65,27.01
T2M,2003,23.84,25.99,27.38,27.04,28.36,28.48,27.62,27.89,28.22,27.86,26.56,24.03,26.94
T2M,2004,24.66,25.54,26.21,27.06,27.65,28.23,28.37,29.2,28.94,28.18,26.4,25.35,27.15
T2M,2005,24.85,25.14,26.92,27.46,28.6,28.89,28.87,28.85,28.37,26.64,25.62,25.33,27.14
T2M,2006,24.71,24.28,25.63,26.94,27.73,27.43,27.73,28.14,28.25,27.55,25.65,25.39,26.63
T2M,2007,25.51,25.44,26.05,27.28,28.32,28.61,28.55,28.26,27.85,27.03,25.66,25.52,27.01
T2M,2008,24.94,26.0,26.01,26.76,27.95,27.31,27.58,28.14,28.55,26.55,24.46,24.65,26.58
T2M,2009,24.58,24.56,25.35,26.96,28.07,28.17,28.36,28.56,28.65,28.02,26.23,26.0,26.97
T2M,2010,24.02,24.81,25.04,27.57,28.35,28.86,28.3,28.46,28.55,26.44,25.44,23.39,26.61
T2M,2011,24.65,25.26,25.89,27.25,28.23,28.15,27.72,28.35,28.37,26.4,25.6,24.89,26.73
T2M,2012,25.0,25.6,26.07,27.03,27.69,27.72,27.68,28.04,28.05,27.24,25.28,25.64,26.76
T2M,2013,25.35,25.88,25.28,27.47,27.91,27.82,27.66,27.81,27.84,27.77,26.27,25.79,26.91
T2M,2014,24.08,25.69,26.54,27.45,27.61,28.08,28.3,28.65,27.99,27.26,25.4,24.86,26.83
T2M,2015,24.61,24.64,26.39,27.56,27.64,27.49,27.8,28.72,28.66,27.9,27.21,26.61,27.12
T2M,2016,24.87,24.42,26.51,27.78,28.87,28.41,28.39,28.41,28.48,27.59,26.38,26.46,27.23
T2M,2017,25.34,26.19,26.21,27.58,28.54,28.42,28.19,28.58,28.94,27.37,25.85,25.19,27.2
T2M,2018,23.99,25.62,26.08,27.25,28.47,28.01,28.16,28.17,28.09,27.66,26.65,25.6,26.98
T2M,2019,24.93,26.26,26.4,27.52,28.41,28.8,28.69,29.25,29.23,28.62,26.96,25.76,27.58
T2M,2020,25.69,26.23,26.65,28.46,28.85,28.23,28.52,28.93,28.96,27.83,26.63,25.05,27.51
T2M,2021,25.3,25.54,26.39,27.62,28.42,28.37,28.39,28.64,28.44,28.16,25.95,26.26,27.3
T2M,2022,25.22,25.51,26.44,27.53,28.02,27.72,28.15,28.22,28.17,27.57,27.1,26.13,27.15
