-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2022 
Location: Latitude  34.0364   Longitude -118.2137 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 395.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M       MERRA-2 Temperature at 2 Meters (C) 
RH2M      MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,12.51,11.91,12.83,16.12,18.81,21.23,22.51,24.53,22.51,17.19,12.69,13.63,17.23
T2M,2001,10.28,10.14,13.36,13.3,19.44,21.62,22.15,24.01,22.51,19.7,15.08,10.59,16.89
T2M,2002,10.9,13.33,12.76,14.67,16.87,20.19,22.91,22.44,23.44,16.92,16.06,11.24,16.82
T2M,2003,15.15,11.9,13.76,12.91,16.98,18.99,24.62,25.12,23.46,21.62,13.19,11.44,17.48
T2M,2004,11.65,10.73,16.71,16.35,19.08,19.96,23.01,22.76,23.12,17.56,12.7,11.76,17.14
T2M,2005,11.46,11.94,13.18,14.11,17.62,18.65,24.01,23.91,20.77,18.31,15.86,12.87,16.93
T2M,2006,11.69,13.21,10.37,13.33,18.09,22.72,26.78,23.12,22.65,17.81,16.52,11.96,17.37
T2M,2007,10.14,12.23,15.03,15.1,17.33,20.48,23.8,24.47,21.37,18.72,16.02,10.36,17.12
T2M,2008,10.01,11.14,13.73,15.47,17.18,22.09,23.64,24.1,23.43,21.12,17.23,10.68,17.5
T2M,2009,13.08,11.23,13.01,14.59,19.01,18.47,23.91,23.51,24.1,17.98,15.37,10.78,17.12
T2M,2010,11.95,11.6,12.84,12.97,15.85,18.98,20.96,22.42,22.36,18.06,13.73,12.08,16.18
T2M,2011,11.15,9.84,12.51,14.79,15.77,18.13,22.12,23.14,22.36,19.08,13.55,10.77,16.14
T2M,2012,13.27,11.8,12.3,15.34,18.05,19.49,22.15,25.8,24.84,20.19,15.51,11.17,17.51
T2M,2013,10.33,11.24,14.65,15.76,18.75,20.76,23.25,23.2,23.0,17.8,15.61,12.26,17.25
T2M,2014,15.15,14.15,15.08,16.45,19.69,20.49,23.69,23.53,24.3,21.34,16.58,12.9,18.65
T2M,2015,13.65,15.5,17.47,16.4,16.2,21.93,22.29,24.46,24.28,22.15,14.63,11.47,18.38
T2M,2016,11.52,15.87,14.82,16.87,16.52,22.23,23.75,23.4,22.23,19.73,16.94,11.76,17.97
T2M,2017,10.39,11.94,15.22,16.23,17.3,21.36,24.39,24.16,22.59,21.24,17.39,14.98,18.14
T2M,2018,14.85,12.83,13.38,15.92,16.65,20.06,25.66,24.45,22.3,19.51,16.55,12.44,17.91
T2M,2019,11.8,9.12,12.62,15.57,15.0,19.37,22.73,23.99,23.08,19.76,16.46,11.48,16.79
T2M,2020,11.98,13.34,12.24,15.57,18.78,20.11,22.38,25.28,24.82,21.96,15.73,13.19,17.96
T2M,2021,12.47,12.78,12.25,16.12,17.59,21.71,24.28,24.01,22.5,18.26,17.51,11.58,17.61
T2M,2022,12.15,12.71,15.1,16.56,17.83,22.6,23.19,25.44,25.14,20.15,13.48,11.76,18.04
RH2M,2000,63.12,74.56,67.5,62.94,59.25,57.88,52.25,49.81,50.88,65.5,51.06,47.12,58.44
RH2M,2001,60.75,71.94,74.19,67.12,60.44,51.88,55.56,48.0,51.88,54.12,59.75,60.38,59.56
RH2M,2002,54.69,48.62,55.38,61.81,58.19,55.38,53.06,53.0,45.25,62.5,48.38,66.19,55.25
RH2M,2003,53.0,64.94,63.94,69.19,63.19,65.81,50.0,46.62,50.44,45.69,59.75,60.94,57.69
RH2M,2004,57.19,61.69,57.56,60.75,54.44,59.19,51.81,53.38,49.12,64.25,64.25,61.75,57.94
RH2M,2005,77.06,78.25,74.56,67.69,70.06,64.62,55.88,50.0,52.19,56.25,51.38,57.12,62.81
RH2M,2006,57.88,48.38,70.06,72.56,64.75,54.25,48.88,51.38,44.88,54.62,46.12,47.69,55.19
RH2M,2007,50.75,61.0,52.81,58.75,54.38,51.06,49.56,50.12,54.44,48.75,47.31,58.62,53.06
RH2M,2008,67.25,67.5,58.94,54.62,58.62,47.5,51.81,49.75,51.25,36.62,51.62,63.5,54.88
RH2M,2009,50.94,68.25,63.06,59.75,57.81,65.69,47.38,45.5,47.5,53.88,47.31,60.56,55.56
RH2M,2010,63.44,74.56,63.81,67.62,60.25,63.94,56.56,46.12,45.19,63.69,53.12,69.25,60.56
RH2M,2011,62.62,66.75,71.12,67.94,61.62,62.19,55.19,45.75,48.88,50.06,56.56,49.81,58.12
RH2M,2012,46.38,57.38,62.06,57.88,56.25,52.5,46.75,43.94,43.44,50.75,57.06,68.19,53.56
RH2M,2013,52.38,54.88,57.31,58.12,56.5,54.44,48.88,46.12,47.06,50.94,53.81,46.75,52.25
RH2M,2014,42.56,57.25,61.19,53.88,50.06,54.06,51.88,51.0,50.94,50.25,51.19,68.19,53.5
RH2M,2015,56.31,58.31,52.0,54.5,66.38,53.62,61.62,52.06,56.25,57.25,47.5,52.69,55.75
RH2M,2016,69.0,47.06,64.38,58.25,69.06,48.88,45.75,49.81,50.06,54.56,48.56,62.88,55.81
RH2M,2017,75.81,78.94,64.62,63.31,63.38,54.81,47.5,49.62,56.31,43.5,56.12,34.5,57.19
RH2M,2018,52.0,52.19,64.19,58.12,68.38,56.38,48.0,50.31,51.38,55.88,50.25,62.62,55.88
RH2M,2019,71.0,77.88,76.25,71.0,77.0,66.69,51.69,42.94,53.12,42.12,49.38,70.06,62.31
RH2M,2020,67.75,60.44,75.25,72.75,62.94,59.62,52.06,48.5,42.0,47.0,49.75,46.62,57.06
RH2M,2021,54.88,55.19,60.81,58.12,60.88,50.0,45.81,48.19,50.88,54.56,49.5,67.81,54.75
RH2M,2022,62.5,54.25,58.25,60.44,58.12,49.19,49.62,47.06,54.44,57.5,54.81,68.69,56.25
WS10M,2000,3.12,3.37,3.16,3.08,2.89,2.55,2.52,2.46,2.57,2.75,3.15,3.05,2.89
WS10M,2001,3.19,3.48,2.72,3.02,2.39,2.52,2.4,2.38,2.25,2.12,2.83,3.27,2.71
WS10M,2002,3.2,3.23,3.36,2.88,2.8,2.53,2.43,2.34,2.41,2.15,3.65,2.99,2.83
WS10M,2003,3.53,3.3,3.28,3.34,2.73,2.57,2.39,2.41,2.18,2.44,2.76,3.23,2.84
WS10M,2004,3.03,3.55,2.8,2.62,2.99,2.61,2.44,2.3,2.55,2.66,2.96,3.98,2.88
WS10M,2005,3.73,3.36,3.09,3.23,2.72,2.56,2.25,2.21,2.34,2.51,3.16,3.03,2.84
WS10M,2006,4.07,3.45,3.02,2.97,2.59,2.44,2.59,2.34,2.37,2.58,3.09,3.77,2.94
WS10M,2007,3.82,3.18,2.94,2.88,2.69,2.51,2.46,2.31,2.55,3.11,2.68,3.71,2.91
WS10M,2008,4.4,3.21,3.16,2.97,2.87,2.55,2.45,2.31,2.38,2.99,3.19,3.34,2.98
WS10M,2009,3.84,3.23,2.8,2.98,2.59,2.66,2.34,2.34,2.31,3.12,3.09,3.2,2.88
WS10M,2010,3.54,3.02,3.11,3.34,3.02,2.45,2.28,2.3,2.37,2.72,3.65,3.42,2.94
WS10M,2011,3.55,3.32,3.29,3.2,3.14,2.48,2.3,2.38,2.15,2.55,3.16,3.31,2.9
WS10M,2012,3.3,3.23,3.16,3.26,2.66,2.56,2.42,2.28,2.27,2.73,2.59,2.84,2.77
WS10M,2013,3.51,2.95,2.52,3.11,2.9,2.62,2.46,2.32,2.44,2.63,2.72,3.35,2.79
WS10M,2014,3.03,2.91,2.89,3.2,3.09,2.47,2.52,2.31,2.32,2.18,3.11,2.93,2.74
WS10M,2015,2.66,2.59,2.64,2.9,2.85,2.45,2.45,2.34,2.3,2.59,3.43,3.62,2.73
WS10M,2016,3.03,3.58,3.12,2.91,2.68,2.58,2.52,2.41,2.48,2.47,3.08,3.41,2.85
WS10M,2017,3.4,2.77,3.02,3.21,2.7,2.56,2.37,2.28,2.62,2.8,2.52,3.28,2.8
WS10M,2018,2.99,2.97,2.88,2.9,2.82,2.55,2.48,2.35,2.22,2.48,2.99,3.02,2.72
WS10M,2019,3.35,3.8,3.05,2.84,2.9,2.27,2.3,2.23,2.46,2.95,2.62,3.2,2.83
WS10M,2020,2.96,2.98,3.08,2.95,2.7,2.87,2.27,2.34,2.16,2.42,2.81,3.52,2.76
WS10M,2021,3.81,3.44,3.13,2.8,2.72,2.54,2.36,2.34,2.23,2.77,2.65,3.08,2.82
WS10M,2022,3.16,3.53,3.16,3.15,2.77,2.55,2.36,2.41,2.55,2.17,3.46,2.52,2.81
