-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2022 
Location: Latitude  26.1617   Longitude -80.2099 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M       MERRA-2 Temperature at 2 Meters (C) 
RH2M      MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,21.05,21.48,23.59,23.85,26.15,27.65,28.65,28.38,28.47,25.82,23.8,21.65,25.05
T2M,2001,18.81,23.19,23.12,24.37,25.2,27.85,28.19,28.63,27.65,26.24,23.95,23.3,25.05
T2M,2002,21.62,21.9,23.8,25.33,26.53,27.35,28.3,28.7,28.34,27.5,24.16,22.34,25.51
T2M,2003,19.06,22.76,25.48,24.24,27.15,27.87,28.54,28.59,28.23,27.24,25.1,20.98,25.45
T2M,2004,20.83,22.13,22.83,23.38,25.69,28.47,28.66,28.79,28.05,26.36,24.66,21.93,25.15
T2M,2005,21.29,21.4,22.19,23.3,25.85,27.62,29.01,29.37,28.33,26.49,24.38,21.73,25.1
T2M,2006,21.16,20.49,22.39,24.8,26.04,27.92,28.14,28.8,28.3,26.73,23.43,23.76,25.19
T2M,2007,23.02,21.48,23.09,23.95,25.64,27.43,29.0,29.37,28.37,27.58,24.17,23.87,25.61
T2M,2008,21.83,23.33,23.18,24.07,26.49,27.87,28.22,28.83,27.93,25.96,22.83,22.4,25.25
T2M,2009,20.75,20.24,22.03,24.15,26.2,28.0,29.01,29.21,28.46,27.49,24.52,23.23,25.3
T2M,2010,18.37,18.62,19.85,23.35,26.67,29.16,29.05,29.31,28.55,26.37,23.9,18.18,24.3
T2M,2011,20.39,22.14,22.94,25.94,26.59,28.06,28.87,29.24,28.55,26.21,24.14,22.97,25.52
T2M,2012,21.33,22.82,23.73,24.34,26.19,27.51,28.3,28.83,27.94,26.37,22.76,23.12,25.28
T2M,2013,23.15,22.36,20.69,24.95,25.8,27.74,27.84,28.48,28.01,26.96,25.03,24.37,25.46
T2M,2014,21.43,23.66,23.32,25.0,26.33,27.44,28.89,29.38,28.11,26.8,23.48,22.78,25.56
T2M,2015,22.3,20.93,24.55,26.23,26.44,28.06,29.15,29.34,28.7,27.21,26.29,25.26,26.24
T2M,2016,21.33,20.82,23.94,24.48,26.29,28.3,29.3,29.06,28.5,26.75,24.37,24.67,25.67
T2M,2017,22.49,23.3,22.87,24.76,26.9,27.9,28.97,29.12,28.7,26.66,24.94,22.55,25.77
T2M,2018,20.67,23.8,22.14,24.89,25.77,27.93,28.96,28.91,28.6,27.5,25.37,23.04,25.63
