-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2022 
Location: Latitude  -22.8217   Longitude -43.4739 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 100.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M       MERRA-2 Temperature at 2 Meters (C) 
RH2M      MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,25.33,25.08,24.15,23.48,21.66,21.03,19.15,20.08,21.32,23.83,23.56,24.75,22.78
T2M,2001,26.13,26.93,25.66,25.01,22.1,21.65,20.58,21.37,21.34,21.82,23.42,24.76,23.37
T2M,2002,25.3,25.03,26.27,24.49,22.75,22.19,20.13,22.19,20.64,24.14,24.26,24.94,23.52
T2M,2003,25.85,26.55,25.62,24.1,21.88,21.66,20.87,19.97,20.94,22.29,23.83,24.75,23.17
T2M,2004,24.09,24.21,24.19,24.38,21.58,20.37,19.87,19.87,22.1,21.9,23.18,23.92,22.46
T2M,2005,25.49,24.73,25.79,25.51,23.32,22.05,20.65,22.73,22.14,24.51,23.6,24.23,23.73
T2M,2006,26.33,26.27,26.13,24.4,21.61,21.35,21.59,21.94,21.71,22.57,23.41,24.78,23.49
T2M,2007,25.3,25.8,26.55,25.49,21.87,21.46,20.49,20.88,22.76,23.21,23.65,25.12,23.53
T2M,2008,25.07,25.23,24.8,23.9,21.34,20.55,20.08,21.84,20.95,22.91,22.77,23.26,22.72
T2M,2009,25.32,25.98,25.53,23.57,22.27,19.95,20.55,21.15,23.04,22.76,26.05,25.04,23.41
T2M,2010,27.0,26.94,25.83,23.88,22.18,19.89,20.73,19.96,22.12,21.72,23.32,25.2,23.21
T2M,2011,26.35,26.72,24.55,24.3,21.33,20.01,20.37,21.59,20.73,22.81,22.33,24.22,22.92
T2M,2012,24.36,26.1,25.23,24.33,21.76,21.92,21.04,21.33,22.24,23.95,23.09,26.8,23.51
T2M,2013,25.11,26.4,25.01,22.95,21.9,21.74,19.95,20.86,22.19,22.54,23.57,24.82,23.06
T2M,2014,27.73,27.63,26.05,23.91,22.3,21.82,20.48,20.89,22.64,23.23,24.11,26.34,23.9
T2M,2015,28.39,26.82,25.28,23.74,21.88,21.29,21.56,21.98,22.91,24.07,24.34,25.74,23.99
T2M,2016,25.33,26.57,25.73,25.37,21.64,19.01,20.25,20.83,21.58,22.61,23.12,25.16,23.09
T2M,2017,26.87,26.0,24.84,23.35,21.39,20.79,19.44,19.91,22.15,23.85,23.33,24.42,23.01
T2M,2018,25.62,25.23,25.76,23.62,21.62,21.23,20.98,20.04,21.94,22.79,23.48,24.98,23.09
T2M,2019,27.33,26.27,25.94,25.19,23.76,22.09,20.43,20.27,21.96,23.42,23.11,24.26,23.65
T2M,2020,25.51,25.33,23.97,22.62,21.18,21.88,21.04,20.73,23.3,23.3,22.76,25.02,23.05
T2M,2021,26.01,25.08,25.67,23.1,21.67,20.7,19.23,20.83,22.48,21.77,22.05,23.72,22.68
T2M,2022,25.53,25.25,25.97,23.77,21.55,20.05,21.19,20.46,20.21,23.3,22.8,23.98,22.83
RH2M,2000,82.19,83.75,84.88,80.88,76.12,75.25,75.69,76.19,79.69,80.0,81.88,82.75,79.94
RH2M,2001,81.81,81.88,82.75,80.94,81.5,80.75,78.0,78.62,76.88,80.19,83.94,81.19,80.69
RH2M,2002,83.38,83.94,81.81,82.56,83.69,81.44,80.69,79.12,78.75,75.5,82.25,85.31,81.5
RH2M,2003,85.81,81.19,82.81,81.81,78.88,81.5,77.0,76.88,79.5,80.69,80.38,84.12,80.88
RH2M,2004,84.25,86.12,83.69,85.06,82.94,82.19,80.88,82.5,80.44,80.31,79.75,84.88,82.75
RH2M,2005,83.56,81.19,81.31,79.19,77.31,76.88,76.62,70.38,76.69,75.88,77.94,77.69,77.88
RH2M,2006,75.25,82.44,79.69,75.62,75.0,73.06,68.12,70.75,73.06,80.75,82.25,83.19,76.56
RH2M,2007,85.19,79.5,74.81,77.81,76.31,73.0,72.75,73.56,68.75,75.88,79.38,79.06,76.31
RH2M,2008,79.56,84.06,84.12,84.31,78.88,81.0,75.69,76.75,76.38,79.0,84.0,83.88,80.62
RH2M,2009,83.25,85.19,83.31,81.62,79.5,79.12,82.56,76.88,77.75,84.25,82.0,84.75,81.69
RH2M,2010,82.06,79.75,83.38,81.69,81.62,76.69,81.62,75.31,74.06,78.44,80.19,85.25,80.0
RH2M,2011,82.69,78.75,86.31,83.38,79.5,76.94,75.31,73.19,73.06,75.69,76.31,79.81,78.44
RH2M,2012,82.94,76.5,78.56,81.88,80.19,82.12,75.31,74.88,70.88,73.06,81.88,77.94,78.0
RH2M,2013,82.56,82.19,83.88,82.06,79.69,82.5,79.38,74.62,74.31,76.75,78.81,81.69,79.88
RH2M,2014,73.12,68.0,76.69,79.56,75.75,76.94,77.81,73.69,74.12,72.31,76.19,73.06,74.81
RH2M,2015,69.31,78.5,82.38,81.25,81.06,79.19,77.75,74.25,78.81,77.19,85.88,83.44,79.06
RH2M,2016,85.5,82.94,85.56,80.31,82.38,84.94,78.0,77.5,79.44,80.56,82.56,82.31,81.81
RH2M,2017,82.06,82.56,83.12,82.5,84.19,83.25,80.75,78.56,70.88,74.88,77.31,84.06,80.38
RH2M,2018,84.5,83.5,83.81,84.19,83.75,81.44,80.81,82.38,80.0,83.38,85.0,82.06,82.94
RH2M,2019,80.56,81.56,82.81,81.88,82.56,81.06,77.06,78.81,80.25,81.81,84.94,85.5,81.56
RH2M,2020,83.69,85.88,84.12,81.5,79.75,81.19,79.56,79.12,81.0,82.31,84.0,86.5,82.38
RH2M,2021,81.88,83.69,83.69,80.38,80.31,82.0,78.12,78.44,80.31,84.31,83.19,84.38,81.69
RH2M,2022,86.12,85.56,82.56,83.94,79.81,82.69,79.06,76.88,78.81,82.88,80.19,83.81,81.81
WS10M,2000,3.09,3.01,2.72,3.07,3.44,3.18,3.71,3.49,3.96,3.07,3.41,3.24,3.28
WS10M,2001,2.83,2.66,2.44,2.71,3.35,3.05,3.5,3.26,4.1,3.57,2.93,3.12,3.13
WS10M,2002,2.88,3.11,2.71,2.88,2.96,2.8,3.27,3.28,4.03,3.26,3.11,3.16,3.12
WS10M,2003,2.8,2.7,2.8,3.05,3.23,2.65,3.36,3.86,3.92,3.59,3.48,3.54,3.25
WS10M,2004,3.54,2.82,3.05,2.75,2.99,3.04,3.73,3.11,3.52,3.47,3.52,3.23,3.23
WS10M,2005,3.21,2.95,2.95,3.12,3.3,3.13,3.45,3.38,4.37,3.42,3.86,3.6,3.4
WS10M,2006,3.15,2.73,3.09,3.18,3.44,3.78,2.99,3.48,4.02,3.62,3.27,3.26,3.34
WS10M,2007,3.07,3.16,2.66,2.93,3.58,3.16,3.43,3.45,3.96,3.38,3.68,3.2,3.3
WS10M,2008,3.34,2.67,2.87,2.89,2.95,3.28,3.01,3.56,3.87,3.57,3.87,3.08,3.25
WS10M,2009,3.32,2.73,2.57,2.91,3.12,3.2,3.52,3.59,3.34,3.43,2.98,3.13,3.16
WS10M,2010,2.55,3.18,2.79,3.49,3.3,3.27,3.66,3.61,3.86,3.67,3.37,3.14,3.33
WS10M,2011,3.2,2.89,2.93,2.91,3.38,3.28,3.24,3.7,3.98,3.45,3.29,3.13,3.28
WS10M,2012,2.96,2.88,2.61,2.91,3.3,3.01,3.4,3.78,3.77,3.49,3.56,2.59,3.19
