-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2022 
Location: Latitude  -33.4452   Longitude -70.6541 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1154.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M       MERRA-2 Temperature at 2 Meters (C) 
RH2M      MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,21.07,19.42,18.12,16.05,10.58,6.05,8.13,9.55,9.94,14.08,16.68,21.33,14.24
T2M,2001,21.27,22.65,19.17,14.55,10.3,9.47,7.87,9.46,9.95,14.99,16.5,22.36,14.84
T2M,2002,21.58,21.04,19.15,14.04,11.45,6.52,7.95,9.01,11.08,13.82,16.93,19.35,14.3
T2M,2003,22.56,21.05,20.39,16.23,12.63,10.7,8.34,10.68,12.77,17.05,18.84,19.95,15.9
T2M,2004,22.14,20.65,19.99,14.83,11.49,10.28,8.86,9.3,12.96,13.8,16.36,20.68,15.1
T2M,2005,21.67,21.43,18.81,15.88,10.09,9.4,8.77,9.94,9.93,13.39,18.26,20.3,14.79
T2M,2006,22.35,21.12,19.06,17.26,14.24,10.37,9.51,10.08,12.46,14.58,18.06,20.64,15.78
T2M,2007,21.64,19.8,18.53,15.36,11.6,7.37,7.2,6.45,11.14,14.91,18.26,20.39,14.36
T2M,2008,22.0,20.68,18.95,15.86,11.88,8.86,8.94,7.76,11.31,14.38,18.96,20.71,15.01
T2M,2009,22.3,21.19,20.83,19.19,14.46,10.41,7.96,10.37,9.51,15.1,16.84,20.31,15.68
T2M,2010,22.51,20.9,20.12,15.85,12.49,8.32,5.51,9.32,10.95,14.26,17.67,18.39,14.65
T2M,2011,20.94,20.52,18.37,16.01,13.92,8.94,6.88,7.89,14.03,14.57,18.37,21.36,15.12
T2M,2012,21.23,21.44,21.1,16.19,13.86,9.99,9.17,8.9,13.06,13.04,18.56,19.23,15.46
T2M,2013,22.05,21.58,18.88,15.85,11.44,10.38,9.48,10.3,10.98,15.27,17.69,21.53,15.42
T2M,2014,22.03,19.48,18.34,15.75,12.36,7.98,9.2,11.14,10.55,16.39,17.76,19.66,15.04
T2M,2015,22.77,21.12,20.55,18.22,14.19,12.14,9.24,10.02,11.46,12.15,15.72,20.61,15.65
T2M,2016,21.23,22.39,20.39,13.89,12.14,9.17,9.01,11.97,14.44,14.83,18.98,19.86,15.67
T2M,2017,23.81,21.6,18.82,14.96,10.52,8.54,9.67,8.92,11.62,13.12,18.13,21.51,15.07
T2M,2018,21.72,21.37,19.36,17.73,13.46,8.86,8.26,11.23,13.38,14.61,18.89,20.16,15.72
T2M,2019,22.25,22.94,19.7,16.86,12.74,8.73,9.37,12.33,12.55,14.68,20.33,21.73,16.15
T2M,2020,22.81,21.87,20.99,17.67,15.69,7.29,7.76,9.39,12.72,15.99,18.8,21.16,16.0
T2M,2021,21.4,20.23,18.55,16.48,13.01,11.19,11.44,11.11,12.22,15.59,18.76,21.25,15.91
T2M,2022,20.55,20.08,19.49,15.54,13.89,9.56,7.81,11.11,11.48,15.19,19.9,21.58,15.49
RH2M,2000,28.19,38.12,33.06,34.75,44.12,65.31,55.75,56.94,60.12,51.81,43.31,28.25,44.94
RH2M,2001,29.31,30.88,34.94,42.88,53.06,45.5,60.44,62.25,61.19,54.94,40.75,32.06,45.75
