-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2022 
Location: Latitude  43.0518   Longitude -87.9793 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 250.66 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M       MERRA-2 Temperature at 2 Meters (C) 
RH2M      MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,-6.02,-1.2,4.77,6.82,14.71,18.04,20.49,21.4,16.69,11.54,1.75,-9.99,8.27
T2M,2001,-6.98,-6.53,-0.19,8.86,13.85,18.68,23.02,22.69,15.72,9.45,7.26,-0.45,8.87
T2M,2002,-2.54,-1.42,-0.99,7.44,10.77,19.54,24.26,22.25,18.68,8.12,1.58,-2.6,8.81
T2M,2003,-8.13,-6.97,0.33,6.36,11.37,17.46,22.22,23.23,17.22,9.94,3.17,-2.15,7.93
T2M,2004,-8.78,-4.62,3.02,7.77,12.85,17.19,20.26,18.85,19.04,11.0,4.7,-3.13,8.21
T2M,2005,-7.29,-1.8,-0.34,8.55,12.26,22.44,23.51,23.2,20.25,11.85,3.43,-6.0,9.21
T2M,2006,-0.45,-5.5,1.34,9.03,13.94,18.67,23.78,22.6,15.81,7.65,3.8,-1.65,9.18
T2M,2007,-4.24,-9.78,2.98,5.87,14.79,20.21,22.27,22.26,17.51,13.31,2.32,-5.83,8.59
T2M,2008,-7.01,-8.39,-1.58,7.3,11.5,19.08,21.31,20.82,17.71,10.0,2.41,-7.91,7.14
T2M,2009,-11.72,-4.01,0.72,6.23,12.64,17.53,19.36,20.26,17.78,7.93,5.74,-5.41,7.3
T2M,2010,-8.47,-4.29,3.49,9.59,14.37,19.87,23.26,22.82,16.32,11.37,3.46,-7.17,8.79
T2M,2011,-8.15,-5.88,0.08,5.98,12.08,18.37,24.68,22.22,16.28,10.91,4.11,-1.03,8.39
T2M,2012,-4.11,-1.62,8.29,7.44,15.79,21.57,26.65,22.4,16.51,9.06,2.75,-1.06,10.35
T2M,2013,-6.19,-5.7,-1.57,5.11,13.23,17.97,20.99,21.16,17.81,10.23,1.26,-7.27,7.32
T2M,2014,-12.86,-12.22,-3.03,6.12,13.08,18.32,19.62,21.22,16.34,9.69,-0.81,-2.49,6.19
T2M,2015,-7.18,-11.33,0.22,7.19,14.02,17.82,21.48,21.4,19.27,10.97,5.33,1.4,8.5
T2M,2016,-7.18,-3.09,3.51,5.83,13.46,19.84,23.04,23.11,18.96,12.32,6.16,-5.92,9.2
T2M,2017,-4.92,-0.69,0.4,8.86,11.88,19.48,21.33,19.55,18.48,12.12,1.76,-5.08,8.63
T2M,2018,-6.41,-5.4,0.43,2.27,15.92,18.9,22.28,22.53,17.8,8.82,-0.74,-2.39,7.93
T2M,2019,-8.67,-7.06,-1.55,6.71,11.4,17.11,22.83,20.73,18.86,8.76,-1.02,-1.47,7.3
T2M,2020,-3.92,-5.25,2.18,5.42,12.14,19.66,23.58,22.0,16.3,7.57,5.26,-2.23,8.6
T2M,2021,-5.47,-10.39,3.7,8.55,14.05,22.12,22.76,23.69,18.58,13.86,2.62,-0.49,9.59
T2M,2022,-9.31,-5.55,1.3,5.41,14.64,19.79,22.72,22.14,17.51,9.65,3.45,-4.77,8.15
RH2M,2000,85.06,85.81,75.81,70.81,75.56,77.88,76.06,73.88,72.38,74.44,81.31,91.75,78.38
RH2M,2001,96.62,88.69,78.69,75.88,76.94,77.81,68.69,70.75,77.81,78.12,83.75,85.44,79.88
RH2M,2002,86.75,82.19,80.56,78.31,76.06,79.5,67.44,70.44,71.44,77.25,80.12,82.38,77.69
RH2M,2003,77.31,78.44,78.31,73.62,75.75,69.06,66.06,68.38,68.31,71.56,82.56,85.94,74.56
RH2M,2004,86.44,91.38,81.19,76.0,82.25,80.5,79.31,75.06,69.38,73.88,79.12,82.94,79.75
RH2M,2005,89.06,84.94,78.38,71.94,71.69,69.0,65.12,63.69,66.62,75.56,77.62,90.62,75.31
RH2M,2006,87.62,83.31,81.25,74.69,78.88,71.69,70.38,68.94,76.81,77.75,84.94,90.44,78.88
RH2M,2007,87.94,87.94,83.62,77.94,74.94,72.25,67.12,78.75,78.06,79.38,77.44,94.94,80.0
RH2M,2008,91.31,93.56,84.31,81.75,76.69,82.12,80.94,75.38,79.0,76.38,80.75,91.31,82.75
RH2M,2009,93.0,86.06,82.12,78.25,76.94,79.38,74.5,75.81,75.62,82.38,84.75,91.69,81.69
RH2M,2010,93.94,88.69,80.5,76.88,76.31,82.25,81.19,81.25,78.62,72.75,80.94,92.69,82.12
RH2M,2011,88.5,91.38,82.69,82.69,82.12,80.75,74.12,71.69,73.0,75.06,82.94,84.44,80.69
RH2M,2012,87.88,81.81,81.69,75.12,73.56,60.81,59.81,61.88,67.06,75.56,80.75,89.44,74.62
RH2M,2013,85.94,87.38,80.5,81.0,80.88,82.31,80.88,76.38,76.06,79.12,80.5,89.44,81.69
RH2M,2014,94.0,91.56,79.56,77.75,77.94,79.81,77.12,78.69,77.19,78.88,80.5,87.5,81.62
