id,city,location,picture_url,listing_url,room_type,accommodates,price,beds,review_scores_rating,number_of_reviews,latitude,longitude
797668,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-797668/original/d8180be2-fd20-48a9-906d-1c9d1a63e1d2.jpeg,https://www.airbnb.com/rooms/797668,Entire home/apt,6,213.0,5.0,4.87,404,32.75994,-117.2489
395071,San Diego,San Diego,https://a0.muscache.com/pictures/692b8862-c2b6-4692-bbaf-6e22b5b1a02f.jpg,https://www.airbnb.com/rooms/395071,Entire home/apt,6,304.0,4.0,4.75,78,32.79069,-117.25314
1233047,San Diego,San Diego,https://a0.muscache.com/pictures/60751852-6107-44d5-86ee-abc9f178c867.jpg,https://www.airbnb.com/rooms/1233047,Entire home/apt,6,375.0,4.0,4.75,112,32.72637,-117.23791
1579303,San Diego,San Diego,https://a0.muscache.com/pictures/1119a295-a656-4b76-9be0-ba92b97bd998.jpg,https://www.airbnb.com/rooms/1579303,Entire home/apt,5,165.0,4.0,4.88,296,32.76264,-117.25021
1688434,San Diego,Chula Vista,https://a0.muscache.com/pictures/24389037/825154c1_original.jpg,https://www.airbnb.com/rooms/1688434,Entire home/apt,6,70.0,4.0,4.75,130,32.64847,-117.08617
2996178,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-2996178/original/e0eb380a-bdf8-4775-9358-40e7cadde103.png,https://www.airbnb.com/rooms/2996178,Entire home/apt,6,222.0,4.0,4.79,174,32.73365,-117.1722
2483060,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-2483060/original/7185308f-6d26-455a-8f90-e6ab59f8ff29.jpeg,https://www.airbnb.com/rooms/2483060,Shared room,6,49.0,6.0,4.74,241,32.72389,-117.16594
2551607,San Diego,San Diego,https://a0.muscache.com/pictures/6f4a1490-8c9e-4c69-8de3-bd7b1070a025.jpg,https://www.airbnb.com/rooms/2551607,Entire home/apt,6,480.0,4.0,4.87,185,32.79674,-117.23085
3543408,San Diego,San Diego,https://a0.muscache.com/pictures/30e2e01b-82c4-480e-b2de-7f06d374aebe.jpg,https://www.airbnb.com/rooms/3543408,Entire home/apt,6,119.0,4.0,4.47,219,32.78078,-117.25209
3977368,San Diego,La Jolla,https://a0.muscache.com/pictures/62418929/5d101e07_original.jpg,https://www.airbnb.com/rooms/3977368,Entire home/apt,6,385.0,4.0,4.93,119,32.85299,-117.25766
4017146,San Diego,San Diego,https://a0.muscache.com/pictures/91861893/4a4e5ddc_original.jpg,https://www.airbnb.com/rooms/4017146,Entire home/apt,5,229.0,4.0,4.97,211,32.74751894882942,-117.24781198745472
5095616,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-5095616/original/06495785-03d3-418e-9ab5-40cdbf2c794f.jpeg,https://www.airbnb.com/rooms/5095616,Entire home/apt,6,211.0,4.0,4.86,187,32.76519,-117.25153
5172596,San Diego,San Diego,https://a0.muscache.com/pictures/f93fd9d6-29cc-46a8-9489-3bb9b96c5119.jpg,https://www.airbnb.com/rooms/5172596,Entire home/apt,6,107.0,4.0,4.42,172,32.78181,-117.25365
5954430,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-5954430/original/d019c292-f2ea-4452-bf5d-89b59929e48d.jpeg,https://www.airbnb.com/rooms/5954430,Entire home/apt,6,829.0,4.0,4.87,79,32.80099,-117.25904
6716557,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-6716557/original/698a621c-77eb-4b76-85c1-1914943723ce.jpeg,https://www.airbnb.com/rooms/6716557,Entire home/apt,6,172.0,7.0,4.81,203,32.77541,-117.25176
6750758,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-6750758/original/79328c10-9e02-4343-ab0d-8848f5a4a9f1.jpeg,https://www.airbnb.com/rooms/6750758,Entire home/apt,6,340.0,4.0,4.87,399,32.87412,-117.24461
8291488,San Diego,San Diego,https://a0.muscache.com/pictures/108540266/878e1172_original.jpg,https://www.airbnb.com/rooms/8291488,Entire home/apt,6,204.0,4.0,4.93,117,32.79831,-117.2487
8935398,San Diego,San Diego,https://a0.muscache.com/pictures/a2c5558d-3d85-455a-aad0-b8074444668e.jpg,https://www.airbnb.com/rooms/8935398,Entire home/apt,5,225.0,4.0,4.98,119,32.78829,-117.19942
7636498,San Diego,San Diego,https://a0.muscache.com/pictures/96952204/7a809be6_original.jpg,https://www.airbnb.com/rooms/7636498,Entire home/apt,6,329.0,4.0,4.81,62,32.72546,-117.05571
